n,sigma3_n,e4_coeff_n
315,32811408,7874737920
316,35991920,8638060800
317,31855014,7645203360
318,37517256,9004141440
319,32487480,7796995200
320,37748718,9059692320
321,34301232,8232295680
322,37672128,9041310720
323,33710040,8090409600
324,40287313,9668955120
325,34620698,8308967520
326,38976732,9354415680
327,36260840,8702601600
328,40319370,9676648800
329,35715456,8571709440
330,42293664,10150479360
331,36264692,8703526080
332,41740524,10017725760
333,38345078,9202818720
334,41917176,10060122240
335,37896264,9095103360
336,45087392,10820974080
337,38272754,9185460960
338,43461063,10430655120
339,40401144,9696274560
340,45198972,10847753280
341,39682944,9523906560
342,46737180,11216923200
343,40471600,9713184000
344,46512180,11162923200
345,42928704,10302888960
346,46599462,11183870880
347,41781924,10027661760
348,49853160,11964758400
349,42508550,10202052000
350,48765096,11703623040
351,44927120,10782508800
352,49882068,11971696320
353,43986978,10556874720
354,51755760,12421382400
355,45096912,10823258880
356,51462810,12351074400
357,47331648,11359595520
358,51618060,12388334400
359,46268280,11104387200
360,55798470,13391632800
361,47052741,11292657840
362,53367678,12808242720
363,49641004,11913840960
364,55196176,13247082240
365,49016268,11763904320
366,57199464,13727871360
367,49430864,11863407360
368,56958408,13670017920
369,52173954,12521748960
370,57441636,13785992640
371,51214032,12291367680
372,60894848,14614763520
373,51895118,12454828320
374,58909032,14138167680
375,55128528,13230846720
376,60737040,14576889600
377,53609220,12866212800
378,63282240,15187737600
379,54439940,13065585600
380,63098280,15143587200
381,57354752,13765140480
382,62710848,15050603520
383,56181888,13483653120
384,67108860,16106126400
385,57734208,13856209920
386,64701522,15528365280
387,60187556,14445013440
388,66625202,15990048480
389,58863870,14127328800
390,69790896,16749815040
391,59793552,14350452480
392,69025905,16566217200
393,62946576,15107178240
394,68808366,16514007840
395,62123040,14909529600
396,73607652,17665836480
397,62570774,15016985760
398,70925400,17022096000
399,66075520,15858124800
400,73730431,17695303440
401,64481202,15475488480
402,75792528,18190206720
403,65482816,15715875840
404,75212046,18050891040
405,69537006,16688881440
406,75511440,18122745600
407,67471128,16193070720
408,80491320,19317916800
409,68417930,16420303200
410,78157548,18757811520
411,71997912,17279498880
412,79769144,19144594560
413,70650720,16956172800
414,82900584,19896140160
415,72045288,17290869120
416,82312902,19755096480
417,75197360,18047366400
418,82237680,19737043200
419,73560060,17654414400
420,88595136,21262832640
421,74618462,17908430880
422,84545388,20290893120
423,78594768,18862744320
